fname,summary
test_0,  사내 메시지    
test_1,  출퇴근 교통체증 
test_2,  이혼 소식    
test_3,  생일 파티    
test_4,  올림픽 공원디움   
test_5,  사업 계획    
test_6,  수두에 증상  
test_7,  호텔 체크아웃   
test_8,  이혼     
test_9,  인품 평가   
test_10,  황사 영향   
test_11,  생일 파티    
test_12,  부정행위    
test_13,  약속 시간    
test_14,  삶의 조언    
test_15,  파티 초대    
test_16,  친구의    
test_17,  가족 관계    
test_18,  학교 결석   
test_19,  휴대폰 구매    
test_20,  직장 지원    
test_21,  취업 면접    
test_22,  음식 주문    
test_23,  노벨상 수상 소식  
test_24,  취업 면접    
test_25,  음주 습관    
test_26,  소풍 준비   
test_27,  새 계과의 만남  
test_28,  돈 찾기출금  
test_29,  직장 동료 대화 전략  
test_30,  음료수 구매   
test_31,  재무 보고서 검토   
test_32,  인터뷰 준비     
test_33,  감정 표현     
test_34,  주말 쇼핑 방문    
test_35,  직장 내     
test_36,  평화로운 시위 계획   
test_37,  잘못된 사람     
test_38,  수업 노트 노트 대여   
test_39,  지질학 과목 등록  
test_40,  펜던트 교환   
test_41,  박싱 데이 세일   
test_42,  직업 선택     
test_43,  지루한 연설    
test_44,  이사 계획     
test_45,  정보 담당관 인터뷰   
test_46,  좋아하는 과목 과목    
test_47,  집안일     
test_48,  겨울 날씨     
test_49,  배우의 갈등    
test_50,  택시 이용     
test_51,  버스 환 요청    
test_52,  길 묻     
test_53,  전근 신청    
test_54,  페인트 구매    
test_55,  길 안내     
test_56,  여권 분실    
test_57,  전화 통화 요청    
test_58,  Dick의 결혼 거절 
test_59,  파티에서의     
test_60,  수업 평가     
test_61,  베이징의 날씨    
test_62,  영화 관람 계획    
test_63,  학교 안내     
test_64,  임신 소식 소식   
test_65,  연애 소문    
test_66,  시스템 업그레이드    
test_67,  중국 출장 경험   
test_68,  체중 감량  
test_69,  레스토랑 예약    
test_70,  액세서 공장   
test_71,  첫 직장 경험   
test_72,  조별 발표    
test_73,  인터넷 구직직 지원  
test_74,  쇼핑 예산 예산   
test_75,  버스 이용    
test_76,  스프레드시트 설명 
test_77,  뉴욕에서의 안내 서비스  
test_78,  회사 정보    
test_79,  계약서    
test_80,  국경 근처 교통 사고  
test_81,  길 안내    
test_82,  호텔 방 변경 요청  
test_83,  연회 초대   
test_84,  길 안내    
test_85,  컴퓨터 문제 해결   
test_86,  어머니 생신 선물  
test_87,  발표 일정    
test_88,  문화 차이 차이   
test_89,  휴가 계획    
test_90,  소풍 준비   
test_91,  차량 렌트   
test_92,  무표정한 사람들  
test_93,  판매 실적    
test_94,  가방 분실  
test_95,  문명 시스템   
test_96,  친구와의 이사   
test_97,  호텔 체크 결제   
test_98,  전화 연결 요청   
test_99,  옛 친구과의 만남  
test_100,  대통령 선거    
test_101,  ATM 사용 방법 
test_102,  사무실 절차 메모   
test_103,  소풍 준비   
test_104,  중국 연 예절  
test_105,  영화 관람    
test_106,  정치 정당 가입 논의  
test_107,  상품 문제 사과   
test_108,  강도 사건    
test_109,  저녁 식사    
test_110,  다이어트와 결심   
test_111,  수업 등록    
test_112,  우산을 길 안내  
test_113,  자동차 구매    
test_114,  큰불 발생 시간  
test_115,  음식 주문 서비스   
test_116,  차량 세차   
test_117,  휴가 계획    
test_118,  웨이트 사용법  
test_119,  구직 활동    
test_120,  수의사 예약   
test_121,  빌린 요청   
test_122,  사회 활동 경험   
test_123,  연락처    
test_124,  중국 음식 추천   
test_125,  결혼식 초대    
test_126,  디저트 선택  
test_127,  취업 면접    
test_128,  선물 구매   
test_129,  운동화 구매  
test_130,  길 묻기  
test_131,  은퇴 제도   
test_132,  여자에   
test_133,  폭설 피해  
test_134,  TV 시청   
test_135,  새 학교 적응  
test_136,  경기 영상   
test_137,  프린트 부탁  
test_138,  커튼 설치 요청 
test_139,  달력 확인  
test_140,  임신 소식   
test_141,  대학 결정 결정 조언 
test_142,  일자리 문제   
test_143,  실험실 강연  
test_144,  감기   
test_145,  호텔 예약   
test_146,  원룸 추천  
test_147,  잘못된 길   
test_148,  컴퓨터 주문 지연  
test_149,  워싱턴 포스트 신문  
test_150,  이메일 문제 해결 
test_151,  주말 초대   
test_152,  음식 선택   
test_153,  영업직 제안  
test_154,  전화번호 확인  
test_155,  음악 교사 면접 
test_156,  솔로와의   
test_157,  서부 해안 스타일  
test_158,  법률 사무소 개설 
test_159,  네트워크 게임   
test_160,  교통수단의 중요성 
test_161,  악몽의 경험  
test_162,  밴드 결성    
test_163,  여행 계획    
test_164,  신용카드 결제    
test_165,  교육 매뉴얼 전달  
test_166,  휴가 계획    
test_167,  비행기 재촉  
test_168,  길 묻 요청   
test_169,  종교 순 순례  
test_170,  길 안내    
test_171,  런던 여행 계획   
test_172,  패스트푸드 문화  
test_173,  음식 주문    
test_174,  음식 주문    
test_175,  반숙 계란  
test_176,  길 묻기   
test_177,  사진 촬영    
test_178,  호텔 예약    
test_179,  비자 신청 절차  
test_180,  술자리    
test_181,  인터넷 쇼핑    
test_182,  회계 프로세    
test_183,  여름 휴가 계획   
test_184,  영화 대여    
test_185,  소포 전달   
test_186,  공항 호텔실 예약  
test_187,  음식값    
test_188,  불면증 상담  
test_189,  주방 확 변경  
test_190,  새 선생님 추천   
test_191,  검사 결과 예약   
test_192,  시험 준비    
test_193,  소포 발송   
test_194,  휴대폰 분 요청   
test_195,  로스앤젤레스 관광   
test_196,  여름 방학 계획  
test_197,  정원 문 사고   
test_198,  회사 생활 변화   
test_199,  통장 개설   
test_200,  중국 음식 추천   
test_201,  배송 협상    
test_202,  독서등 깨진 방 
test_203,  마케팅 계획    
test_204,  휴가 계획 계획   
test_205,  중형차 예약  
test_206,  카드게임    
test_207,  회의 일정    
test_208,  세계 지도 지도   
test_209,  금연 방 예약 변경  
test_210,  시멘트트 손상  
test_211,  재회    
test_212,  건강 회복    
test_213,  직장 내    
test_214,  이혼     
test_215,  의사 조언    
test_216,  이별     
test_217,  도서관 이용    
test_218,  날씨와 날씨   
test_219,  사진 촬영 금지   
test_220,  개인 대출 상담   
test_221,  발표 성공    
test_222,  운동 초대 초대   
test_223,  일본 레스토랑 주문   
test_224,  점심 초대     
test_225,  데이트 레스토랑 예약   
test_226,  음식 가격     
test_227,  스포츠 선호     
test_228,  항공권 예약    
test_229,  디즈니 월드 방문  
test_230,  호주의 여행    
test_231,  헬스장 운동   
test_232,  로스앤젤레스 출생과 유럽 여행 
test_233,  정장 구매    
test_234,  자전거 투어     
test_235,  음식 주문     
test_236,  번지 점프   
test_237,  2차 세계 정보 검색   
test_238,  운동 기구 팁   
test_239,  캠퍼스 내 주차   
test_240,  급여 설명     
test_241,  자판기 구매   
test_242,  태국에 여자친구 소개  
test_243,  새 가구 구매    
test_244,  운동 계획     
test_245,  과학 과목 등록    
test_246,  환경친화적인 삶  
test_247,  크리스마스 준비     
test_248,  생일 케이 케이크   
test_249,  여름 의류 쇼핑    
test_250,  예약 취소     
test_251,  부활절 가족 모임   
test_252,  나쁜 습관 습관    
test_253,  결혼 소식     
test_254,  투표용지 수령   
test_255,  회사 인원 감축   
test_256,  중국식 이혼   
test_257,  예산 계산    
test_258,  결혼 소식    
test_259,  지갑 분실  
test_260,  합병 소식    
test_261,  직장 내    
test_262,  회의 주제    
test_263,  이슬람 순 순례  
test_264,  데이트 거절   
test_265,  화를 풀기 위한 방법 
test_266,  가족 소개    
test_267,  도시 마라톤 우승   
test_268,  선물 고    
test_269,  로밍 요금   
test_270,  급여 협상    
test_271,  친구에    
test_272,  주택 구매    
test_273,  샘플 보기 요청  
test_274,  길 묻기   
test_275,  차 열쇠 꺼내기  
test_276,  어깨 통증    
test_277,  신용카드 분    
test_278,  낮잠    
test_279,  음식 주문    
test_280,  음식 주문    
test_281,  노래 준비    
test_282,  영화관의    
test_283,  드레스 선택   
test_284,  용돈 주기   
test_285,  생일 파티    
test_286,  소포 발송   
test_287,  원촨 지진 경험  
test_288,  날씨와 날씨    
test_289,  올림픽 기념품 쇼핑   
test_290,  팬 구매     
test_291,  퇴근 후 재회   
test_292,  직업 선호     
test_293,  중국 생활     
test_294,  식중독 증상   
test_295,  친구 초대 준비    
test_296,  베를린 여행 경험    
test_297,  취업 면접     
test_298,  피크닉 초대   
test_299,  차 마시 요청    
test_300,  긴급 회의 소집    
test_301,  우표 발송    
test_302,  항생제와 가려움증 
test_303,  공예품 구매   
test_304,  에펠탑    
test_305,  영어 학습     
test_306,  초조     
test_307,  업무 문제     
test_308,  데이트 소문    
test_309,  런던 역사 역사    
test_310,  새로운 과목 수강    
test_311,  베이비 샤워 준비  
test_312,  중국 관광 계획    
test_313,  일상 대화     
test_314,  오토바이 구매    
test_315,  언어 능력력    
test_316,  전화 메시지 전달    
test_317,  비행기 예약 문제   
test_318,  점심 메뉴 선택    
test_319,  초과 수하물 문제  
test_320,  탄산음료  
test_321,  약속 변경 변경   
test_322,  신발 구매    
test_323,  프로젝트 보고서    
test_324,  피자 주문   
test_325,  음식 주문    
test_326,  집 정보    
test_327,  제품 문제 문제   
test_328,  기숙사 임대료  
test_329,  중고 서점 탐방 
test_330,  음식 주문    
test_331,  편지 발송    
test_332,  새해 인사    
test_333,  컴퓨터 사용    
test_334,  날씨     
test_335,  정보 찾기    
test_336,  음식 주문    
test_337,  음식 주문    
test_338,  음식 주문    
test_339,  데이트 신청   
test_340,  애완동물 사진  
test_341,  새 자전거 구매   
test_342,  치마 구매   
test_343,  도시 역사 역사   
test_344,  환경 문제 논의   
test_345,  이상형 여자친구  
test_346,  실습 준비   
test_347,  차량 대여    
test_348,  뉴욕 여행 계획   
test_349,  필름 현상 요청  
test_350,  항공편 지연   
test_351,  길 안내    
test_352,  신문 기사 기사     
test_353,  컴퓨터 게임      
test_354,  건강 문제      
test_355,  음식 주문      
test_356,  가이드 인터뷰      
test_357,  호텔 예약      
test_358,  데이빗 생일 파티    
test_359,  저녁 초대 초대     
test_360,  야구 경기 관람     
test_361,  도움 요청      
test_362,  천연자원 자원 수출    
test_363,  미술 전시회      
test_364,  도서 대출납부    
test_365,  볼링 게임 설명    
test_366,  은행과 증권사 간 이체 서비스 
test_367,  체크아웃 요청     
test_368,  뷔페 이용    
test_369,  해외 유학 개인 대출    
test_370,  영어 노래 책     
test_371,  글쓰기 경력     
test_372,  이메일 발송 방법    
test_373,  집 탐기     
test_374,  호텔 체크아웃     
test_375,  글쓰기 능력 향상    
test_376,  새 실험실 계획    
test_377,  신용카드 사용      
test_378,  마을 방문      
test_379,  자녀 양육 미래 계획    
test_380,  우표 수집     
test_381,  성공한 사업가 인터뷰    
test_382,  살인 사건      
test_383,  퀘벡 여행 계획   
test_384,  시험 준비 계획    
test_385,  허리의 증상   
test_386,  대출금 요청    
test_387,  글씨기 연습   
test_388,  원시적인 고문 도구 
test_389,  운전 강좌 수강    
test_390,  피아노 배우     
test_391,  취업 면접     
test_392,  보고서 제출     
test_393,  크리스마스 계획     
test_394,  주말 활동     
test_395,  직업 대여     
test_396,  호텔에서의 서비스 요청   
test_397,  휴양 캠프 활동   
test_398,  대학 입학 요건   
test_399,  학교 결     
test_400,  집주인 갈등    
test_401,  L/C 수령   
test_402,  지갑 분실   
test_403,  설거지 분담   
test_404,  연인 간의 갈등    
test_405,  정부의 사회 문제 해결   
test_406,  가면무도회 파티 준비 
test_407,  나이트클럽에서의 춤  
test_408,  농장 운영    
test_409,  하이네켄 구매   
test_410,  우정과 갈등    
test_411,  기념품 구매    
test_412,  패스트푸드 문화   
test_413,  버스 경로 안내    
test_414,  9-11 테러 공격  
test_415,  이웃과의     
test_416,  음식 주문     
test_417,  가계부 점검    
test_418,  만남 일정     
test_419,  여자친구 선물 고르기  
test_420,  중고차 교환    
test_421,  취업 제안     
test_422,  네트워크 결제 서비스 가입   
test_423,  간식 준비    
test_424,  혈액 채취     
test_425,  전기 문제 문제 해결   
test_426,  집주인 문제 해결   
test_427,  사무실 문제사    
test_428,  해고 후 구직 활동   
test_429,  사장님 강점   
test_430,  취업 면접     
test_431,  시계 구매     
test_432,  병문 간호 요청   
test_433,  첫 직장 경험    
test_434,  다이어트      
test_435,  대학 입학 지원    
test_436,  택시 이용     
test_437,  미국 유학 경험    
test_438,  건강검진    
test_439,  복권 당첨 후의 계획 
test_440,  결혼 준비     
test_441,  명함 인쇄    
test_442,  여행 준비     
test_443,  크리스마스 저녁 초대    
test_444,  주말 활동 계획    
test_445,  저녁 수업 정보    
test_446,  저녁 식사 선택    
test_447,  운전면허 시험 준비  
test_448,  펜 구매     
test_449,  회사 기금 모금    
test_450,  길 안내     
test_451,  전통 중국예품 추천  
test_452,  회사 영향 영향    
test_453,  회의 준비     
test_454,  짧은 여행 추천    
test_455,  음식 주문     
test_456,  등불 축제    
test_457,  면접 통과 통과 축하   
test_458,  친구와의 재회   
test_459,  부서 회의     
test_460,  목욕 사용법   
test_461,  기차에서의 시간 책 추천 
test_462,  책 읽법    
test_463,  티켓 예약     
test_464,  저녁 메뉴 준비    
test_465,  전화기 사용법   
test_467,  중고 물건     
test_468,  음식 처리     
test_469,  중국 길거리 쇼핑   
test_470,  영어 교육     
test_471,  계좌 개설     
test_472,  할인 쿠 및 보관   
test_473,  부엌 청소    
test_474,  기차표 분실  
test_475,  미국 여행 경험    
test_476,  여름 일자리 구직    
test_477,  교통사고      
test_478,  사업가     
test_479,  중년 부부    
test_480,  디저트 주문   
test_481,  침실 선택  
test_482,  도서관 카드 신청  
test_483,  근무 시간   
test_484,  세탁기 대화  
test_485,  일상 대화 대화  
test_486,  직원 평가   
test_487,  깜짝 파티 준비  
test_488,  직업 소개   
test_489,  시끄러음  
test_490,  음식 주문   
test_491,  여행 준비   
test_492,  휴가 계획   
test_493,  영화관 계획  
test_494,  도난 사건  
test_495,  비디오 게임 계획  
test_496,  시골 음악과 도서관 
test_497,  세탁기 사용법 
test_498,  새 집 찾기  
test_499,  파티 초대   
